kmer1 	bad	54.75	33.33
kmer2 	good	54.75	33.33
kmer3 	bad	46.94	14.29
kmer4 	bad	54.75	33.33
kmer5 	bad	62.56	52.38
kmer6 	bad	52.80	28.57
kmer7 	bad	50.85	23.81
kmer8 	bad	52.80	28.57
kmer9 	bad	60.61	47.62
kmer10 	bad	52.80	28.57
kmer11 	bad	46.94	14.29
kmer12 	bad	48.90	19.05
kmer13 	bad	54.75	33.33
kmer14 	bad	56.71	38.10
kmer15 	bad	60.61	47.62
kmer16 	bad	58.66	42.86
kmer17 	bad	62.56	52.38
kmer18 	bad	54.75	33.33
kmer19 	bad	58.66	42.86
kmer20 	bad	62.56	52.38
kmer21 	bad	50.85	23.81
kmer22 	bad	56.71	38.10
kmer23 	bad	64.52	57.14
kmer24 	bad	58.66	42.86
kmer25 	bad	52.80	28.57
kmer26 	bad	52.80	28.57
kmer27 	bad	64.52	57.14
kmer28 	bad	64.52	57.14
kmer29 	bad	60.61	47.62
kmer30 	bad	54.75	33.33
kmer31 	bad	60.61	47.62
kmer32 	bad	54.75	33.33
kmer33 	bad	48.90	19.05
kmer34 	bad	52.80	28.57
kmer35 	bad	48.90	19.05
kmer36 	bad	46.94	14.29
kmer37 	bad	46.94	14.29
kmer38 	bad	50.85	23.81
kmer39 	bad	48.90	19.05
kmer40 	bad	54.75	33.33
kmer41 	bad	58.66	42.86
kmer42 	bad	58.66	42.86
kmer43 	bad	60.61	47.62
kmer44 	bad	58.66	42.86
kmer45 	bad	62.56	52.38
kmer46 	bad	58.66	42.86
kmer47 	bad	54.75	33.33
kmer48 	bad	60.61	47.62
kmer49 	bad	62.56	52.38
kmer50 	bad	60.61	47.62
kmer51 	bad	62.56	52.38
kmer52 	bad	64.52	57.14
kmer53 	bad	60.61	47.62
kmer54 	bad	50.85	23.81
kmer55 	bad	54.75	33.33
kmer56 	bad	56.71	38.10
kmer57 	bad	58.66	42.86
kmer58 	bad	60.61	47.62
kmer59 	bad	56.71	38.10
kmer60 	bad	62.56	52.38
kmer61 	bad	58.66	42.86
kmer62 	bad	54.75	33.33
kmer63 	bad	50.85	23.81
kmer64 	bad	54.75	33.33
kmer65 	bad	56.71	38.10
kmer66 	bad	50.85	23.81
kmer67 	bad	58.66	42.86
kmer68 	bad	62.56	52.38
kmer69 	bad	66.47	61.90
kmer70 	bad	60.61	47.62
kmer71 	bad	56.71	38.10
kmer72 	bad	60.61	47.62
kmer73 	bad	64.52	57.14
kmer74 	bad	60.61	47.62
kmer75 	bad	58.66	42.86
kmer76 	bad	60.61	47.62
kmer77 	good	64.52	57.14
kmer78 	bad	62.56	52.38
kmer79 	bad	58.66	42.86
kmer80 	bad	52.80	28.57
kmer81 	bad	70.37	71.43
kmer82 	bad	66.47	61.90
kmer83 	good	64.52	57.14
kmer84 	bad	56.71	38.10
kmer85 	bad	66.47	61.90
kmer86 	bad	66.47	61.90
kmer87 	good	62.56	52.38
kmer88 	bad	60.61	47.62
kmer89 	bad	54.75	33.33
